227;87-602;Chrostkowo;Chrostkowo;99;\N
228;87-610;Dobrzyń nad Wisłą;ul. Szkolna;1;\N
229;87-620;Kikół;Plac Kościuszki;7;\N
230;87-600;Lipno;ul. Mickiewicza;29;\N
231;87-630;Skępe;ul. Kościelna;2;\N
232;87-605;Tłuchowo;ul. Sierpecka;20;\N
233;87-603;Wielgie;ul. Starowiejska;8;\N
234;88-306;Dąbrowa;ul. Kasztanowa;16;\N
235;88-324;Jeziora Wielkie;Jeziora Wielkie;36;\N
236;88-300;Mogilno;ul. Narutowicza;1;\N
237;88-320;Strzelno;ul. Dr J. Cieślewicza;2;\N
238;89-240;Kcynia;ul. Rynek;23;\N
239;89-115;Mrocza;Pl. 1 Maja;20;\N
240;89-100;Nakło nad Notecią;ul. Ks. P. Skargi;7;\N
241;89-110;Sadki;ul. Strażacka;11;\N
242;89-200;Szubin;ul. Kcyńska;12;\N
243;88-220;Radziejów;ul. Kościuszki;20;22
244;88-231;Bytoń;Bytoń;72;\N
245;88-210;Dobre;ul. Dworcowa;6;\N
246;88-220;Osięciny;ul. Wojska Polskiego;14;\N
247;87-230;Piotrków Kujawski;ul. Kościelna;1;\N
248;88-200;Radziejów;ul. Kościuszki;20;22
249;87-875;Topólka;Topólka;22;\N
250;87-500;Rypin;ul. Warszawska;40;\N
251;87-517;Brzuze;Brzuze;62;\N
252;87-515;Rogowo;Rogowo;51;\N
253;87-500;Rypin;ul. Lipnowska;4;\N
254;87-510;Skrwilno;ul. Rypińska;7;\N
255;87-337;Wąpielsk;Wąpielsk;20;\N
256;89-430;Kamień Krajeński;Plac Odrodzenia;3;\N
257;89-400;Sępólno Krajeńskie;ul. T. Kościuszki;11;\N
258;89-412;Sośno;ul. Nowa;1;\N
259;89-410;Więcbork;ul. Mickiewicza;22;\N
260;86-122;Bukowiec;ul. Dr. Fl. Ceynowy;14;\N
261;86-134;Dragacz;Dragacz;7A;\N
262;86-140;Drzycim;ul. Podgórna;10;\N
263;86-131;Jeżewo;ul. Świecka;12;\N
264;86-141;Lniano;ul. Wyzwolenia;7;\N
265;86-170;Nowe;Plac Św. Rocha;5;\N
266;86-150;Osie;ul. Dworcowa;6;\N
267;86-120;Pruszcz;ul. Główna;33;\N
268;86-100;Świecie;ul. Wojska Polskiego;124;\N
269;86-182;Świekatowo;ul. Dworcowa;3;\N
270;86-160;Warlubie;ul. Dworcowa;15;\N
271;87-140;Chełmża;ul. Gen. Hallera;2;\N
272;87-140;Chełmża;ul. Wodna;2;\N
273;87-640;Czernikowo;ul. Słowackiego;12;\N
274;87-162;Lubicz;ul. Toruńska;21;\N
275;87-152;Łubianka;Al. Jana Pawła II;8;\N
276;87-148;Łysomice;ul. Warszawska;8;\N
277;87-126;Obrowo;ul. Aleja Lipowa;27;\N
278;87-165;Cierpice;ul. Toruńska;12;\N
279;87-134;Zławieś Wielka;ul. Handlowa;7;\N
280;89-511;Cekcyn;ul. Szkolna;2;\N
281;89-520;Gostycyn;ul. Bydgoska;8;\N
